[TOKEN] Línea 30: Tipo=LBRACE, Valor={
[TOKEN] Línea 30: Tipo=RBRACE, Valor=}
[TOKEN] Línea 32: Tipo=VARIABLE, Valor=carrito
[TOKEN] Línea 32: Tipo=DOT, Valor=.
[TOKEN] Línea 32: Tipo=VARIABLE, Valor=Agregar
[TOKEN] Línea 32: Tipo=LPAREN, Valor=(
[TOKEN] Línea 32: Tipo=VARIABLE, Valor=Producto
[TOKEN] Línea 32: Tipo=LBRACE, Valor={
[TOKEN] Línea 32: Tipo=STRING, Valor="Manzanas"
[TOKEN] Línea 32: Tipo=COMMA, Valor=,
[TOKEN] Línea 32: Tipo=NUMBER, Valor=0
[TOKEN] Línea 32: Tipo=DOT, Valor=.
[TOKEN] Línea 32: Tipo=NUMBER, Valor=5
[TOKEN] Línea 32: Tipo=COMMA, Valor=,
[TOKEN] Línea 32: Tipo=NUMBER, Valor=4
[TOKEN] Línea 32: Tipo=RBRACE, Valor=}
[TOKEN] Línea 32: Tipo=RPAREN, Valor=)
[TOKEN] Línea 33: Tipo=VARIABLE, Valor=carrito
[TOKEN] Línea 33: Tipo=DOT, Valor=.
[TOKEN] Línea 33: Tipo=VARIABLE, Valor=Agregar
[TOKEN] Línea 33: Tipo=LPAREN, Valor=(
[TOKEN] Línea 33: Tipo=VARIABLE, Valor=Producto
[TOKEN] Línea 33: Tipo=LBRACE, Valor={
[TOKEN] Línea 33: Tipo=STRING, Valor="Pan"
[TOKEN] Línea 33: Tipo=COMMA, Valor=,
[TOKEN] Línea 33: Tipo=NUMBER, Valor=1
[TOKEN] Línea 33: Tipo=DOT, Valor=.
[TOKEN] Línea 33: Tipo=NUMBER, Valor=25
[TOKEN] Línea 33: Tipo=COMMA, Valor=,
[TOKEN] Línea 33: Tipo=NUMBER, Valor=2
[TOKEN] Línea 33: Tipo=RBRACE, Valor=}
[TOKEN] Línea 33: Tipo=RPAREN, Valor=)
[TOKEN] Línea 34: Tipo=VARIABLE, Valor=carrito
[TOKEN] Línea 34: Tipo=DOT, Valor=.
[TOKEN] Línea 34: Tipo=VARIABLE, Valor=Agregar
[TOKEN] Línea 34: Tipo=LPAREN, Valor=(
[TOKEN] Línea 34: Tipo=VARIABLE, Valor=Producto
[TOKEN] Línea 34: Tipo=LBRACE, Valor={
[TOKEN] Línea 34: Tipo=STRING, Valor="Leche"
[TOKEN] Línea 34: Tipo=COMMA, Valor=,
[TOKEN] Línea 34: Tipo=NUMBER, Valor=0
[TOKEN] Línea 34: Tipo=DOT, Valor=.
[TOKEN] Línea 34: Tipo=NUMBER, Valor=9
[TOKEN] Línea 34: Tipo=COMMA, Valor=,
[TOKEN] Línea 34: Tipo=NUMBER, Valor=1
[TOKEN] Línea 34: Tipo=RBRACE, Valor=}
[TOKEN] Línea 34: Tipo=RPAREN, Valor=)
[TOKEN] Línea 36: Tipo=VARIABLE, Valor=fmt
[TOKEN] Línea 36: Tipo=DOT, Valor=.
[TOKEN] Línea 36: Tipo=PRINTLN, Valor=Println
[TOKEN] Línea 36: Tipo=LPAREN, Valor=(
[TOKEN] Línea 36: Tipo=STRING, Valor="Resumen del carrito:"
[TOKEN] Línea 36: Tipo=RPAREN, Valor=)
[TOKEN] Línea 37: Tipo=FOR, Valor=for
[TOKEN] Línea 37: Tipo=VARIABLE, Valor=_
[TOKEN] Línea 37: Tipo=COMMA, Valor=,
[TOKEN] Línea 37: Tipo=VARIABLE, Valor=item
[TOKEN] Línea 37: Tipo=COLON, Valor=:
[TOKEN] Línea 37: Tipo=ASSIGN, Valor==
[TOKEN] Línea 37: Tipo=RANGE, Valor=range
[TOKEN] Línea 37: Tipo=VARIABLE, Valor=carrito
[TOKEN] Línea 37: Tipo=DOT, Valor=.
[TOKEN] Línea 37: Tipo=VARIABLE, Valor=Items
[TOKEN] Línea 37: Tipo=LBRACE, Valor={
[TOKEN] Línea 38: Tipo=VARIABLE, Valor=fmt
[TOKEN] Línea 38: Tipo=DOT, Valor=.
[TOKEN] Línea 38: Tipo=PRINTF, Valor=Printf
[TOKEN] Línea 38: Tipo=LPAREN, Valor=(
[TOKEN] Línea 38: Tipo=STRING, Valor="- %s x%d: $%.2f\n"
[TOKEN] Línea 38: Tipo=COMMA, Valor=,
[TOKEN] Línea 38: Tipo=VARIABLE, Valor=item
[TOKEN] Línea 38: Tipo=DOT, Valor=.
[TOKEN] Línea 38: Tipo=VARIABLE, Valor=Nombre
[TOKEN] Línea 38: Tipo=COMMA, Valor=,
[TOKEN] Línea 38: Tipo=VARIABLE, Valor=item
[TOKEN] Línea 38: Tipo=DOT, Valor=.
[TOKEN] Línea 38: Tipo=VARIABLE, Valor=Cantidad
[TOKEN] Línea 38: Tipo=COMMA, Valor=,
[TOKEN] Línea 38: Tipo=VARIABLE, Valor=item
[TOKEN] Línea 38: Tipo=DOT, Valor=.
[TOKEN] Línea 38: Tipo=VARIABLE, Valor=Precio
[TOKEN] Línea 38: Tipo=RPAREN, Valor=)
[TOKEN] Línea 39: Tipo=RBRACE, Valor=}
[TOKEN] Línea 41: Tipo=VARIABLE, Valor=fmt
[TOKEN] Línea 41: Tipo=DOT, Valor=.
[TOKEN] Línea 41: Tipo=PRINTF, Valor=Printf
[TOKEN] Línea 41: Tipo=LPAREN, Valor=(
[TOKEN] Línea 41: Tipo=STRING, Valor="Total a pagar: $%.2f\n"
[TOKEN] Línea 41: Tipo=COMMA, Valor=,
[TOKEN] Línea 41: Tipo=VARIABLE, Valor=carrito
[TOKEN] Línea 41: Tipo=DOT, Valor=.
[TOKEN] Línea 41: Tipo=VARIABLE, Valor=Total
[TOKEN] Línea 41: Tipo=LPAREN, Valor=(
[TOKEN] Línea 41: Tipo=RPAREN, Valor=)
[TOKEN] Línea 41: Tipo=RPAREN, Valor=)
[TOKEN] Línea 42: Tipo=RBRACE, Valor=}
