[TOKEN] Línea 22: Tipo=VARIABLE, Valor=GestorDeTareas
[TOKEN] Línea 22: Tipo=RPAREN, Valor=)
[TOKEN] Línea 22: Tipo=VARIABLE, Valor=Mostrar
[TOKEN] Línea 22: Tipo=LPAREN, Valor=(
[TOKEN] Línea 22: Tipo=RPAREN, Valor=)
[TOKEN] Línea 22: Tipo=LBRACE, Valor={
[TOKEN] Línea 23: Tipo=FOR, Valor=for
[TOKEN] Línea 23: Tipo=VARIABLE, Valor=i
[TOKEN] Línea 23: Tipo=COMMA, Valor=,
[TOKEN] Línea 23: Tipo=VARIABLE, Valor=t
[TOKEN] Línea 23: Tipo=COLON, Valor=:
[TOKEN] Línea 23: Tipo=ASSIGN, Valor==
[TOKEN] Línea 23: Tipo=RANGE, Valor=range
[TOKEN] Línea 23: Tipo=VARIABLE, Valor=g
[TOKEN] Línea 23: Tipo=DOT, Valor=.
[TOKEN] Línea 23: Tipo=VARIABLE, Valor=Lista
[TOKEN] Línea 23: Tipo=LBRACE, Valor={
[TOKEN] Línea 24: Tipo=VARIABLE, Valor=estado
[TOKEN] Línea 24: Tipo=COLON, Valor=:
[TOKEN] Línea 24: Tipo=ASSIGN, Valor==
[TOKEN] Línea 24: Tipo=STRING, Valor="✗"
[TOKEN] Línea 25: Tipo=IF, Valor=if
[TOKEN] Línea 25: Tipo=VARIABLE, Valor=t
[TOKEN] Línea 25: Tipo=DOT, Valor=.
[TOKEN] Línea 25: Tipo=VARIABLE, Valor=Completada
[TOKEN] Línea 25: Tipo=LBRACE, Valor={
[TOKEN] Línea 26: Tipo=VARIABLE, Valor=estado
[TOKEN] Línea 26: Tipo=ASSIGN, Valor==
[TOKEN] Línea 26: Tipo=STRING, Valor="✓"
[TOKEN] Línea 27: Tipo=RBRACE, Valor=}
[TOKEN] Línea 28: Tipo=VARIABLE, Valor=fmt
[TOKEN] Línea 28: Tipo=DOT, Valor=.
[TOKEN] Línea 28: Tipo=PRINTF, Valor=Printf
[TOKEN] Línea 28: Tipo=LPAREN, Valor=(
[TOKEN] Línea 28: Tipo=STRING, Valor="%d. [%s] %s\n"
[TOKEN] Línea 28: Tipo=COMMA, Valor=,
[TOKEN] Línea 28: Tipo=VARIABLE, Valor=i
[TOKEN] Línea 28: Tipo=COMMA, Valor=,
[TOKEN] Línea 28: Tipo=VARIABLE, Valor=estado
[TOKEN] Línea 28: Tipo=COMMA, Valor=,
[TOKEN] Línea 28: Tipo=VARIABLE, Valor=t
[TOKEN] Línea 28: Tipo=DOT, Valor=.
[TOKEN] Línea 28: Tipo=VARIABLE, Valor=Descripcion
[TOKEN] Línea 28: Tipo=RPAREN, Valor=)
[TOKEN] Línea 29: Tipo=RBRACE, Valor=}
[TOKEN] Línea 30: Tipo=RBRACE, Valor=}
[TOKEN] Línea 33: Tipo=FUNCNAME, Valor=main
[TOKEN] Línea 33: Tipo=LPAREN, Valor=(
[TOKEN] Línea 33: Tipo=RPAREN, Valor=)
[TOKEN] Línea 33: Tipo=LBRACE, Valor={
[TOKEN] Línea 34: Tipo=VARIABLE, Valor=gestor
[TOKEN] Línea 34: Tipo=COLON, Valor=:
[TOKEN] Línea 34: Tipo=ASSIGN, Valor==
[TOKEN] Línea 34: Tipo=VARIABLE, Valor=GestorDeTareas
[TOKEN] Línea 34: Tipo=LBRACE, Valor={
[TOKEN] Línea 34: Tipo=RBRACE, Valor=}
[TOKEN] Línea 35: Tipo=VARIABLE, Valor=gestor
[TOKEN] Línea 35: Tipo=DOT, Valor=.
[TOKEN] Línea 35: Tipo=VARIABLE, Valor=Agregar
[TOKEN] Línea 35: Tipo=LPAREN, Valor=(
[TOKEN] Línea 35: Tipo=STRING, Valor="Estudiar Go"
[TOKEN] Línea 35: Tipo=RPAREN, Valor=)
[TOKEN] Línea 36: Tipo=VARIABLE, Valor=gestor
[TOKEN] Línea 36: Tipo=DOT, Valor=.
[TOKEN] Línea 36: Tipo=VARIABLE, Valor=Agregar
[TOKEN] Línea 36: Tipo=LPAREN, Valor=(
[TOKEN] Línea 36: Tipo=STRING, Valor="Hacer ejercicio"
[TOKEN] Línea 36: Tipo=RPAREN, Valor=)
[TOKEN] Línea 37: Tipo=VARIABLE, Valor=gestor
[TOKEN] Línea 37: Tipo=DOT, Valor=.
[TOKEN] Línea 37: Tipo=VARIABLE, Valor=Agregar
[TOKEN] Línea 37: Tipo=LPAREN, Valor=(
[TOKEN] Línea 37: Tipo=STRING, Valor="Leer un libro"
[TOKEN] Línea 37: Tipo=RPAREN, Valor=)
[TOKEN] Línea 38: Tipo=VARIABLE, Valor=gestor
[TOKEN] Línea 38: Tipo=DOT, Valor=.
[TOKEN] Línea 38: Tipo=VARIABLE, Valor=Completar
[TOKEN] Línea 38: Tipo=LPAREN, Valor=(
[TOKEN] Línea 38: Tipo=NUMBER, Valor=1
[TOKEN] Línea 38: Tipo=RPAREN, Valor=)
[TOKEN] Línea 39: Tipo=VARIABLE, Valor=fmt
[TOKEN] Línea 39: Tipo=DOT, Valor=.
[TOKEN] Línea 39: Tipo=PRINTLN, Valor=Println
[TOKEN] Línea 39: Tipo=LPAREN, Valor=(
[TOKEN] Línea 39: Tipo=STRING, Valor="Lista de tareas:"
[TOKEN] Línea 39: Tipo=RPAREN, Valor=)
[TOKEN] Línea 40: Tipo=VARIABLE, Valor=gestor
[TOKEN] Línea 40: Tipo=DOT, Valor=.
[TOKEN] Línea 40: Tipo=VARIABLE, Valor=Mostrar
[TOKEN] Línea 40: Tipo=LPAREN, Valor=(
[TOKEN] Línea 40: Tipo=RPAREN, Valor=)
[TOKEN] Línea 41: Tipo=RBRACE, Valor=}
